invoice_id,invoice_date,region,territory,customer_id,sku_id,gross_amount,discount_amount,net_revenue,currency,posting_status
INV-100015,2025-07-01,NA-Central,Midwest-IL,DIST-GREATLAKES-SUPPLY,SKU-4410,9325.77,441.99,8883.78,USD,POSTED
INV-100016,2025-07-01,NA-Central,Texas-DFW,DIST-TEXAS-COMMERCIAL,SKU-8821,34514.5,1606.32,32908.18,USD,POSTED
INV-100017,2025-07-01,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-8821,13988.66,592.42,13396.24,USD,POSTED
INV-100018,2025-07-01,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-5520,20030.6,640.62,19389.98,USD,POSTED
INV-100019,2025-07-01,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-4410,7641.95,187.88,7454.07,USD,POSTED
INV-100020,2025-07-01,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-4410,12207.7,383.91,11823.79,USD,POSTED
INV-100021,2025-07-01,NA-West,California-LA,DIST-MOUNTAIN-PARTS,SKU-8821,8457.2,341.74,8115.46,USD,POSTED
INV-100022,2025-07-01,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-9930,20228.7,472.27,19756.43,USD,POSTED
INV-100023,2025-07-01,NA-West,California-LA,DIST-PACIFIC-LOGISTICS,SKU-4410,27912.56,1196.3,26716.26,USD,POSTED
INV-100024,2025-07-01,NA-West,Mountain-CO,DIST-PACIFIC-LOGISTICS,SKU-9930,49657.46,1900.35,47757.11,USD,POSTED
INV-100025,2025-07-01,NA-West,PacificNW-WA,DIST-CAL-ENTERPRISE,SKU-9930,51028.89,2426.67,48602.22,USD,POSTED
INV-100026,2025-07-02,NA-East,Mid-Atlantic-VA,DIST-COASTAL-WHOLESALE,SKU-8821,15405.81,418.78,14987.03,USD,POSTED
INV-100027,2025-07-02,NA-East,Southeast-ATL,DIST-SUNBELT-PARTS,SKU-2205,10598.16,471.41,10126.75,USD,POSTED
INV-100028,2025-07-02,NA-East,Northeast-NY,DIST-MIDATL-SUPPLY,SKU-8821,23725.86,663.18,23062.68,USD,POSTED
INV-100029,2025-07-02,NA-East,Northeast-NY,DIST-COASTAL-WHOLESALE,SKU-2205,6982.9,289.01,6693.89,USD,POSTED
INV-100030,2025-07-02,NA-East,Mid-Atlantic-VA,DIST-TRI-STATE-OPS,SKU-5520,15672.48,736.42,14936.06,USD,POSTED
INV-100031,2025-07-02,NA-East,Mid-Atlantic-VA,DIST-APEX-EAST,SKU-8821,31817.34,656.42,31160.92,USD,POSTED
INV-100032,2025-07-02,NA-East,Northeast-NY,DIST-MIDATL-SUPPLY,SKU-4410,13664.85,563.47,13101.38,USD,POSTED
INV-100033,2025-07-02,NA-East,Southeast-ATL,DIST-MIDATL-SUPPLY,SKU-8821,31451.63,695.89,30755.74,USD,POSTED
INV-100034,2025-07-02,NA-East,Southeast-ATL,DIST-EMPIRE-IND,SKU-5520,20323.94,847.52,19476.42,USD,POSTED
INV-100035,2025-07-02,NA-East,Northeast-NY,DIST-SUNBELT-PARTS,SKU-4410,12563.89,323.05,12240.84,USD,POSTED
INV-100036,2025-07-02,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-4410,13567.7,622.96,12944.74,USD,POSTED
INV-100037,2025-07-02,NA-Central,Midwest-IL,DIST-TEXAS-COMMERCIAL,SKU-5520,17264.87,553.83,16711.04,USD,POSTED
INV-100038,2025-07-02,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-8821,41097.4,1375.05,39722.35,USD,POSTED
INV-100039,2025-07-02,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-8821,19520.12,649.9,18870.22,USD,POSTED
INV-100040,2025-07-02,NA-Central,Texas-DFW,DIST-MIDWEST-DIRECT,SKU-8821,16685.82,818.77,15867.05,USD,POSTED
INV-100041,2025-07-02,NA-Central,Midwest-IL,DIST-MIDWEST-DIRECT,SKU-4410,18392.5,844.94,17547.56,USD,POSTED
INV-100042,2025-07-02,NA-West,PacificNW-WA,DIST-CAL-ENTERPRISE,SKU-8821,28388.75,1356.85,27031.9,USD,POSTED
INV-100043,2025-07-02,NA-West,California-LA,DIST-CAL-ENTERPRISE,SKU-4410,27459.22,676.7,26782.52,USD,POSTED
INV-100044,2025-07-02,NA-West,California-LA,DIST-PACIFIC-LOGISTICS,SKU-2205,10201.97,432.96,9769.01,USD,POSTED
INV-100045,2025-07-02,NA-West,PacificNW-WA,DIST-PACIFIC-LOGISTICS,SKU-4410,28916.37,714.9,28201.47,USD,POSTED
INV-100046,2025-07-02,NA-West,Mountain-CO,DIST-PACIFIC-LOGISTICS,SKU-9930,23943.01,963.86,22979.15,USD,POSTED
INV-100047,2025-07-02,NA-West,PacificNW-WA,DIST-CAL-ENTERPRISE,SKU-8821,27520.17,1028.36,26491.81,USD,POSTED
INV-100048,2025-07-03,NA-East,Northeast-NY,DIST-APEX-EAST,SKU-4410,28657.32,845.14,27812.18,USD,POSTED
INV-100049,2025-07-03,NA-East,Mid-Atlantic-VA,DIST-MIDATL-SUPPLY,SKU-5520,24891.59,696.18,24195.41,USD,POSTED
INV-100050,2025-07-03,NA-East,Southeast-ATL,DIST-TRI-STATE-OPS,SKU-5520,16091.53,474.46,15617.07,USD,POSTED
INV-100051,2025-07-03,NA-East,Southeast-ATL,DIST-APEX-EAST,SKU-4410,14636.28,324.89,14311.39,USD,POSTED
INV-100052,2025-07-03,NA-East,Southeast-ATL,DIST-SUNBELT-PARTS,SKU-8821,9828.63,455.84,9372.79,USD,POSTED
INV-100053,2025-07-03,NA-East,Mid-Atlantic-VA,DIST-EMPIRE-IND,SKU-8821,30125.9,1155.34,28970.56,USD,POSTED
INV-100054,2025-07-03,NA-Central,Texas-DFW,DIST-TEXAS-COMMERCIAL,SKU-8821,29988.76,1438.04,28550.72,USD,POSTED
INV-100055,2025-07-03,NA-Central,Midwest-IL,DIST-MIDWEST-DIRECT,SKU-8821,23268.72,655.49,22613.23,USD,POSTED
INV-100056,2025-07-03,NA-Central,Texas-DFW,DIST-MIDWEST-DIRECT,SKU-5520,25981.12,913.56,25067.56,USD,POSTED
INV-100057,2025-07-03,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-8821,28937.32,617.02,28320.3,USD,POSTED
INV-100058,2025-07-03,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-5520,21581.09,911.52,20669.57,USD,POSTED
INV-100059,2025-07-03,NA-Central,Texas-DFW,DIST-TEXAS-COMMERCIAL,SKU-4410,15024.86,334.41,14690.45,USD,POSTED
INV-100060,2025-07-03,NA-Central,Texas-DFW,DIST-MIDWEST-DIRECT,SKU-4410,16222.96,533.63,15689.33,USD,POSTED
INV-100061,2025-07-03,NA-Central,Midwest-IL,DIST-GREATLAKES-SUPPLY,SKU-4410,11754.36,309.17,11445.19,USD,POSTED
INV-100062,2025-07-03,NA-Central,Midwest-IL,DIST-TEXAS-COMMERCIAL,SKU-8821,35017.36,1723.38,33293.98,USD,POSTED
INV-100063,2025-07-03,NA-Central,Texas-DFW,DIST-MIDWEST-DIRECT,SKU-2205,12777.22,629.74,12147.48,USD,POSTED
INV-100064,2025-07-03,NA-Central,Midwest-IL,DIST-GREATLAKES-SUPPLY,SKU-8821,17828.68,785.66,17043.02,USD,POSTED
INV-100065,2025-07-03,NA-Central,Texas-DFW,DIST-MIDWEST-DIRECT,SKU-8821,33874.5,1563.82,32310.68,USD,POSTED
INV-100066,2025-07-03,NA-West,California-LA,DIST-PACIFIC-LOGISTICS,SKU-8821,32365.92,943.65,31422.27,USD,POSTED
INV-100067,2025-07-03,NA-West,PacificNW-WA,DIST-PACIFIC-LOGISTICS,SKU-8821,34651.65,1034.28,33617.37,USD,POSTED
INV-100068,2025-07-03,NA-West,PacificNW-WA,DIST-CAL-ENTERPRISE,SKU-4410,24577.3,992.57,23584.73,USD,POSTED
INV-100069,2025-07-03,NA-West,Mountain-CO,DIST-CAL-ENTERPRISE,SKU-2205,15278.19,387.41,14890.78,USD,POSTED
INV-100070,2025-07-03,NA-West,California-LA,DIST-PACIFIC-LOGISTICS,SKU-8821,32137.35,1345.15,30792.2,USD,POSTED
INV-100071,2025-07-03,NA-West,California-LA,DIST-CAL-ENTERPRISE,SKU-5520,19611.55,618.86,18992.69,USD,POSTED
INV-100072,2025-07-03,NA-West,Mountain-CO,DIST-PACIFIC-LOGISTICS,SKU-8821,16045.82,571.19,15474.63,USD,POSTED
INV-100073,2025-07-03,NA-West,Mountain-CO,DIST-MOUNTAIN-PARTS,SKU-5520,15337.24,505.19,14832.05,USD,POSTED
INV-100074,2025-07-03,NA-West,Mountain-CO,DIST-CAL-ENTERPRISE,SKU-5520,27531.6,969.49,26562.11,USD,POSTED
INV-100075,2025-07-03,NA-West,Mountain-CO,DIST-CAL-ENTERPRISE,SKU-8821,21943.0,565.15,21377.85,USD,POSTED
INV-100076,2025-07-03,NA-West,Mountain-CO,DIST-CAL-ENTERPRISE,SKU-5520,27573.51,887.38,26686.13,USD,POSTED
INV-100077,2025-07-03,NA-West,PacificNW-WA,DIST-CAL-ENTERPRISE,SKU-8821,31040.2,1053.8,29986.4,USD,POSTED
INV-100078,2025-07-04,NA-East,Northeast-NY,DIST-MIDATL-SUPPLY,SKU-4410,14118.18,402.56,13715.62,USD,POSTED
INV-100079,2025-07-04,NA-East,Northeast-NY,DIST-TRI-STATE-OPS,SKU-5520,8255.29,367.8,7887.49,USD,POSTED
INV-100080,2025-07-04,NA-East,Southeast-ATL,DIST-TRI-STATE-OPS,SKU-8821,11474.36,280.21,11194.15,USD,POSTED
INV-100081,2025-07-04,NA-East,Southeast-ATL,DIST-MIDATL-SUPPLY,SKU-2205,20205.84,655.34,19550.5,USD,POSTED
INV-100082,2025-07-04,NA-East,Northeast-NY,DIST-SUNBELT-PARTS,SKU-8821,19794.41,633.22,19161.19,USD,POSTED
INV-100083,2025-07-04,NA-East,Southeast-ATL,DIST-TRI-STATE-OPS,SKU-5520,8548.63,370.6,8178.03,USD,POSTED
INV-100084,2025-07-04,NA-East,Southeast-ATL,DIST-MIDATL-SUPPLY,SKU-9930,47143.15,1013.89,46129.26,USD,POSTED
INV-100085,2025-07-04,NA-East,Southeast-ATL,DIST-APEX-EAST,SKU-4410,28916.37,1435.32,27481.05,USD,POSTED
INV-100086,2025-07-04,NA-East,Northeast-NY,DIST-EMPIRE-IND,SKU-2205,21443.94,703.41,20740.53,USD,POSTED
INV-100087,2025-07-04,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-5520,33943.07,942.79,33000.28,USD,POSTED
INV-100088,2025-07-04,NA-Central,Midwest-IL,DIST-TEXAS-COMMERCIAL,SKU-8821,38674.53,1500.67,37173.86,USD,POSTED
INV-100089,2025-07-04,NA-Central,GreatLakes-MI,DIST-GREATLAKES-SUPPLY,SKU-8821,13714.37,386.08,13328.29,USD,POSTED
INV-100090,2025-07-04,NA-Central,GreatLakes-MI,DIST-TEXAS-COMMERCIAL,SKU-8821,26788.74,843.61,25945.13,USD,POSTED
INV-100091,2025-07-04,NA-Central,Midwest-IL,DIST-TEXAS-COMMERCIAL,SKU-8821,35063.08,1049.31,34013.77,USD,POSTED
INV-100092,2025-07-04,NA-Central,GreatLakes-MI,DIST-GREATLAKES-SUPPLY,SKU-8821,17325.82,816.83,16508.99,USD,POSTED
INV-100093,2025-07-04,NA-Central,Texas-DFW,DIST-TEXAS-COMMERCIAL,SKU-8821,33783.07,1159.08,32623.99,USD,POSTED
INV-100094,2025-07-04,NA-Central,GreatLakes-MI,DIST-GREATLAKES-SUPPLY,SKU-9930,26000.16,1103.07,24897.09,USD,POSTED
INV-100095,2025-07-04,NA-Central,Texas-DFW,DIST-TEXAS-COMMERCIAL,SKU-9930,32800.21,924.57,31875.64,USD,POSTED
INV-100096,2025-07-04,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-4410,16805.82,759.88,16045.94,USD,POSTED
INV-100097,2025-07-04,NA-West,Mountain-CO,DIST-MOUNTAIN-PARTS,SKU-8821,22080.14,815.46,21264.68,USD,POSTED
INV-100098,2025-07-04,NA-West,PacificNW-WA,DIST-PACIFIC-LOGISTICS,SKU-5520,34445.93,876.71,33569.22,USD,POSTED
INV-100099,2025-07-04,NA-West,California-LA,DIST-CAL-ENTERPRISE,SKU-8821,31268.77,941.97,30326.8,USD,POSTED
INV-100100,2025-07-04,NA-West,California-LA,DIST-CAL-ENTERPRISE,SKU-9930,34743.08,1565.08,33178.0,USD,POSTED
INV-100101,2025-07-04,NA-West,California-LA,DIST-PACIFIC-LOGISTICS,SKU-5520,29668.76,792.95,28875.81,USD,POSTED
INV-100102,2025-07-04,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-8821,13988.66,363.44,13625.22,USD,POSTED
INV-100103,2025-07-04,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-8821,19291.55,773.28,18518.27,USD,POSTED
INV-100104,2025-07-05,NA-East,Southeast-ATL,DIST-COASTAL-WHOLESALE,SKU-5520,11104.83,423.95,10680.88,USD,POSTED
INV-100105,2025-07-05,NA-East,Northeast-NY,DIST-TRI-STATE-OPS,SKU-8821,10651.5,521.3,10130.2,USD,POSTED
INV-100106,2025-07-05,NA-East,Southeast-ATL,DIST-SUNBELT-PARTS,SKU-8821,21668.71,873.69,20795.02,USD,POSTED
INV-100107,2025-07-05,NA-East,Mid-Atlantic-VA,DIST-COASTAL-WHOLESALE,SKU-2205,5398.13,203.85,5194.28,USD,POSTED
INV-100108,2025-07-05,NA-East,Northeast-NY,DIST-MIDATL-SUPPLY,SKU-8821,21622.99,948.97,20674.02,USD,POSTED
INV-100109,2025-07-05,NA-East,Northeast-NY,DIST-APEX-EAST,SKU-8821,33325.92,735.46,32590.46,USD,POSTED
INV-100110,2025-07-05,NA-East,Northeast-NY,DIST-EMPIRE-IND,SKU-8821,38903.1,901.24,38001.86,USD,POSTED
INV-100111,2025-07-05,NA-East,Mid-Atlantic-VA,DIST-TRI-STATE-OPS,SKU-9930,22000.14,906.83,21093.31,USD,POSTED
INV-100112,2025-07-05,NA-East,Mid-Atlantic-VA,DIST-MIDATL-SUPPLY,SKU-5520,35409.75,1202.03,34207.72,USD,POSTED
INV-100113,2025-07-05,NA-East,Northeast-NY,DIST-SUNBELT-PARTS,SKU-8821,10240.06,290.49,9949.57,USD,POSTED
INV-100114,2025-07-05,NA-Central,Midwest-IL,DIST-GREATLAKES-SUPPLY,SKU-4410,11398.17,237.78,11160.39,USD,POSTED
INV-100115,2025-07-05,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-4410,19882.03,600.64,19281.39,USD,POSTED
INV-100116,2025-07-05,NA-Central,Texas-DFW,DIST-TEXAS-COMMERCIAL,SKU-9930,20571.56,730.27,19841.29,USD,POSTED
INV-100117,2025-07-05,NA-Central,Midwest-IL,DIST-MIDWEST-DIRECT,SKU-8821,38857.39,1424.33,37433.06,USD,POSTED
INV-100118,2025-07-05,NA-Central,Midwest-IL,DIST-TEXAS-COMMERCIAL,SKU-4410,26163.97,1145.67,25018.3,USD,POSTED
INV-100119,2025-07-05,NA-Central,Midwest-IL,DIST-GREATLAKES-SUPPLY,SKU-8821,15360.1,613.16,14746.94,USD,POSTED
INV-100120,2025-07-05,NA-Central,GreatLakes-MI,DIST-GREATLAKES-SUPPLY,SKU-4410,12855.32,641.47,12213.85,USD,POSTED
INV-100121,2025-07-05,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-4410,10297.21,300.66,9996.55,USD,POSTED
INV-100122,2025-07-05,NA-Central,Midwest-IL,DIST-MIDWEST-DIRECT,SKU-5520,19779.17,836.39,18942.78,USD,POSTED
INV-100123,2025-07-05,NA-West,Mountain-CO,DIST-PACIFIC-LOGISTICS,SKU-8821,28937.32,1207.77,27729.55,USD,POSTED
INV-100124,2025-07-05,NA-West,Mountain-CO,DIST-MOUNTAIN-PARTS,SKU-8821,12754.37,368.44,12385.93,USD,POSTED
INV-100125,2025-07-05,NA-West,California-LA,DIST-PACIFIC-LOGISTICS,SKU-8821,21897.28,618.14,21279.14,USD,POSTED
INV-100126,2025-07-05,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-8821,19702.98,454.7,19248.28,USD,POSTED
INV-100127,2025-07-05,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-8821,18514.4,559.53,17954.87,USD,POSTED
INV-100128,2025-07-05,NA-West,PacificNW-WA,DIST-CAL-ENTERPRISE,SKU-2205,11539.12,515.38,11023.74,USD,POSTED
INV-100129,2025-07-05,NA-West,California-LA,DIST-CAL-ENTERPRISE,SKU-8821,23085.86,565.05,22520.81,USD,POSTED
INV-100130,2025-07-05,NA-West,Mountain-CO,DIST-CAL-ENTERPRISE,SKU-8821,21531.56,791.12,20740.44,USD,POSTED
INV-100131,2025-07-05,NA-West,California-LA,DIST-MOUNTAIN-PARTS,SKU-4410,14474.38,454.66,14019.72,USD,POSTED
INV-100132,2025-07-05,NA-West,California-LA,DIST-CAL-ENTERPRISE,SKU-9930,37828.81,1401.89,36426.92,USD,POSTED
INV-100133,2025-07-05,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-2205,7081.95,274.54,6807.41,USD,POSTED
INV-100134,2025-07-05,NA-West,California-LA,DIST-MOUNTAIN-PARTS,SKU-8821,12251.51,447.91,11803.6,USD,POSTED
INV-100135,2025-07-06,NA-East,Southeast-ATL,DIST-COASTAL-WHOLESALE,SKU-4410,10653.4,223.5,10429.9,USD,POSTED
INV-100136,2025-07-06,NA-East,Mid-Atlantic-VA,DIST-TRI-STATE-OPS,SKU-8821,17462.97,386.55,17076.42,USD,POSTED
INV-100137,2025-07-06,NA-East,Southeast-ATL,DIST-EMPIRE-IND,SKU-9930,44857.43,1051.61,43805.82,USD,POSTED
INV-100138,2025-07-06,NA-East,Southeast-ATL,DIST-TRI-STATE-OPS,SKU-8821,13074.37,585.72,12488.65,USD,POSTED
INV-100139,2025-07-06,NA-East,Southeast-ATL,DIST-APEX-EAST,SKU-8821,29485.9,978.18,28507.72,USD,POSTED
INV-100140,2025-07-06,NA-East,Mid-Atlantic-VA,DIST-TRI-STATE-OPS,SKU-8821,16274.39,785.73,15488.66,USD,POSTED
INV-100141,2025-07-06,NA-East,Northeast-NY,DIST-SUNBELT-PARTS,SKU-4410,15737.24,333.56,15403.68,USD,POSTED
INV-100142,2025-07-06,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-5520,9470.54,254.45,9216.09,USD,POSTED
INV-100143,2025-07-06,NA-Central,Texas-DFW,DIST-TEXAS-COMMERCIAL,SKU-4410,20238.22,754.63,19483.59,USD,POSTED
INV-100144,2025-07-06,NA-Central,Midwest-IL,DIST-GREATLAKES-SUPPLY,SKU-4410,10426.73,265.3,10161.43,USD,POSTED
INV-100145,2025-07-06,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-5520,9470.54,322.95,9147.59,USD,POSTED
INV-100146,2025-07-06,NA-Central,GreatLakes-MI,DIST-GREATLAKES-SUPPLY,SKU-8821,11977.22,358.05,11619.17,USD,POSTED
INV-100147,2025-07-06,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-8821,21074.42,444.69,20629.73,USD,POSTED
INV-100148,2025-07-06,NA-Central,Midwest-IL,DIST-GREATLAKES-SUPPLY,SKU-8821,17645.83,810.78,16835.05,USD,POSTED
INV-100149,2025-07-06,NA-Central,Midwest-IL,DIST-TEXAS-COMMERCIAL,SKU-9930,44171.71,955.26,43216.45,USD,POSTED
INV-100150,2025-07-06,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-5520,20952.51,696.91,20255.6,USD,POSTED
INV-100151,2025-07-06,NA-West,PacificNW-WA,DIST-CAL-ENTERPRISE,SKU-4410,25840.16,1199.64,24640.52,USD,POSTED
INV-100152,2025-07-06,NA-West,California-LA,DIST-PACIFIC-LOGISTICS,SKU-8821,23405.86,686.32,22719.54,USD,POSTED
INV-100153,2025-07-06,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-4410,7706.72,260.82,7445.9,USD,POSTED
INV-100154,2025-07-06,NA-West,PacificNW-WA,DIST-MOUNTAIN-PARTS,SKU-9930,18800.12,663.01,18137.11,USD,POSTED
INV-100155,2025-07-06,NA-West,California-LA,DIST-CAL-ENTERPRISE,SKU-9930,34228.79,1153.63,33075.16,USD,POSTED
INV-100156,2025-07-06,NA-West,PacificNW-WA,DIST-CAL-ENTERPRISE,SKU-8821,22354.43,1026.53,21327.9,USD,POSTED
INV-100157,2025-07-07,NA-East,Mid-Atlantic-VA,DIST-EMPIRE-IND,SKU-2205,15426.76,688.29,14738.47,USD,POSTED
INV-100158,2025-07-07,NA-East,Mid-Atlantic-VA,DIST-TRI-STATE-OPS,SKU-8821,20571.56,769.33,19802.23,USD,POSTED
INV-100159,2025-07-07,NA-East,Northeast-NY,DIST-COASTAL-WHOLESALE,SKU-9930,26000.16,897.79,25102.37,USD,POSTED
INV-100160,2025-07-07,NA-East,Mid-Atlantic-VA,DIST-SUNBELT-PARTS,SKU-9930,23600.15,1132.47,22467.68,USD,POSTED
INV-100161,2025-07-07,NA-East,Southeast-ATL,DIST-TRI-STATE-OPS,SKU-8821,15817.24,427.18,15390.06,USD,POSTED
INV-100162,2025-07-07,NA-East,Mid-Atlantic-VA,DIST-APEX-EAST,SKU-8821,33828.78,1068.39,32760.39,USD,POSTED
INV-100163,2025-07-07,NA-East,Northeast-NY,DIST-TRI-STATE-OPS,SKU-2205,9979.11,488.43,9490.68,USD,POSTED
INV-100164,2025-07-07,NA-East,Southeast-ATL,DIST-SUNBELT-PARTS,SKU-2205,5720.04,264.41,5455.63,USD,POSTED
INV-100165,2025-07-07,NA-Central,Midwest-IL,DIST-TEXAS-COMMERCIAL,SKU-2205,12306.74,397.5,11909.24,USD,POSTED
INV-100166,2025-07-07,NA-Central,Texas-DFW,DIST-MIDWEST-DIRECT,SKU-8821,31817.34,1231.26,30586.08,USD,POSTED
INV-100167,2025-07-07,NA-Central,GreatLakes-MI,DIST-TEXAS-COMMERCIAL,SKU-8821,40960.26,1286.16,39674.1,USD,POSTED
INV-100168,2025-07-07,NA-Central,GreatLakes-MI,DIST-TEXAS-COMMERCIAL,SKU-5520,16175.34,623.14,15552.2,USD,POSTED
INV-100169,2025-07-07,NA-Central,Midwest-IL,DIST-TEXAS-COMMERCIAL,SKU-5520,24388.72,1034.16,23354.56,USD,POSTED
INV-100170,2025-07-07,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-9930,45943.15,1148.16,44794.99,USD,POSTED
INV-100171,2025-07-07,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-8821,29714.47,913.83,28800.64,USD,POSTED
INV-100172,2025-07-07,NA-Central,GreatLakes-MI,DIST-MIDWEST-DIRECT,SKU-8821,24411.58,612.72,23798.86,USD,POSTED
INV-100173,2025-07-07,NA-Central,Midwest-IL,DIST-TEXAS-COMMERCIAL,SKU-9930,49086.02,2325.93,46760.09,USD,POSTED
INV-100174,2025-07-07,NA-West,PacificNW-WA,DIST-CAL-ENTERPRISE,SKU-5520,25603.97,1024.29,24579.68,USD,POSTED
INV-100175,2025-07-07,NA-West,California-LA,DIST-CAL-ENTERPRISE,SKU-5520,17809.64,592.21,17217.43,USD,POSTED
INV-100176,2025-07-07,NA-West,California-LA,DIST-MOUNTAIN-PARTS,SKU-8821,14080.09,474.57,13605.52,USD,POSTED
INV-100177,2025-07-07,NA-West,California-LA,DIST-PACIFIC-LOGISTICS,SKU-2205,11365.79,308.2,11057.59,USD,POSTED
INV-100178,2025-07-07,NA-West,Mountain-CO,DIST-CAL-ENTERPRISE,SKU-4410,12045.79,594.32,11451.47,USD,POSTED
INV-100179,2025-07-07,NA-West,Mountain-CO,DIST-CAL-ENTERPRISE,SKU-8821,18285.83,865.26,17420.57,USD,POSTED
INV-100180,2025-07-07,NA-West,Mountain-CO,DIST-CAL-ENTERPRISE,SKU-9930,33428.78,1277.38,32151.4,USD,POSTED
INV-100181,2025-07-08,NA-East,Southeast-ATL,DIST-TRI-STATE-OPS,SKU-8821,12708.65,512.58,12196.07,USD,POSTED
INV-100182,2025-07-08,NA-East,Northeast-NY,DIST-TRI-STATE-OPS,SKU-5520,9219.11,358.14,8860.97,USD,POSTED
INV-100183,2025-07-08,NA-East,Northeast-NY,DIST-TRI-STATE-OPS,SKU-8821,17142.97,360.02,16782.95,USD,POSTED
INV-100184,2025-07-08,NA-East,Mid-Atlantic-VA,DIST-TRI-STATE-OPS,SKU-8821,13760.09,410.07,13350.02,USD,POSTED
INV-100185,2025-07-08,NA-East,Mid-Atlantic-VA,DIST-MIDATL-SUPPLY,SKU-8821,33097.35,1189.04,31908.31,USD,POSTED
INV-100186,2025-07-08,NA-East,Mid-Atlantic-VA,DIST-MIDATL-SUPPLY,SKU-8821,29805.9,1263.67,28542.23,USD,POSTED
INV-100187,2025-07-08,NA-East,Mid-Atlantic-VA,DIST-APEX-EAST,SKU-4410,15996.29,681.83,15314.46,USD,POSTED
INV-100188,2025-07-08,NA-East,Southeast-ATL,DIST-TRI-STATE-OPS,SKU-5520,14792.47,725.1,14067.37,USD,POSTED
INV-100189,2025-07-08,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-8821,8548.63,238.79,8309.84,USD,POSTED
