po_id,order_date,region,distributor_id,distributor_tier,total_order_value,order_status,deferral_reason,expected_delivery_date
PO-DIST-1038,2025-07-11,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,429718.0,FULFILLED,,2025-07-31
PO-DIST-1039,2025-07-14,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,257600.0,FULFILLED,,2025-07-31
PO-DIST-1040,2025-07-14,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,195898.0,FULFILLED,,2025-07-24
PO-DIST-1041,2025-07-14,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,363793.0,FULFILLED,,2025-07-25
PO-DIST-1042,2025-07-14,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,73134.0,FULFILLED,,2025-07-27
PO-DIST-1043,2025-07-14,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,131092.0,SUBMITTED,,2025-07-26
PO-DIST-1044,2025-07-14,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,85173.0,FULFILLED,,2025-08-01
PO-DIST-1045,2025-07-14,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,325536.0,FULFILLED,,2025-07-30
PO-DIST-1046,2025-07-14,NA-Central,DIST-GREATLAKES-SUPPLY,TIER_2_REGIONAL,83578.0,FULFILLED,,2025-07-30
PO-DIST-1047,2025-07-14,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,409372.0,FULFILLED,,2025-08-03
PO-DIST-1048,2025-07-14,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,352212.0,FULFILLED,,2025-08-02
PO-DIST-1049,2025-07-14,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,202192.0,FULFILLED,,2025-07-25
PO-DIST-1050,2025-07-14,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,92574.0,FULFILLED,,2025-08-04
PO-DIST-1051,2025-07-16,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,383413.0,FULFILLED,,2025-07-29
PO-DIST-1052,2025-07-16,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,448766.0,FULFILLED,,2025-08-02
PO-DIST-1053,2025-07-16,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,120839.0,FULFILLED,,2025-08-04
PO-DIST-1054,2025-07-16,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,195240.0,FULFILLED,,2025-08-04
PO-DIST-1055,2025-07-16,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,437255.0,FULFILLED,,2025-07-31
PO-DIST-1056,2025-07-16,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,371736.0,FULFILLED,,2025-07-29
PO-DIST-1057,2025-07-16,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,141453.0,FULFILLED,,2025-08-06
PO-DIST-1058,2025-07-18,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,466057.0,FULFILLED,,2025-08-05
PO-DIST-1059,2025-07-18,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,409472.0,FULFILLED,,2025-07-30
PO-DIST-1060,2025-07-18,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,111932.0,FULFILLED,,2025-08-06
PO-DIST-1061,2025-07-18,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,334831.0,FULFILLED,,2025-08-03
PO-DIST-1062,2025-07-18,NA-Central,DIST-GREATLAKES-SUPPLY,TIER_2_REGIONAL,65507.0,FULFILLED,,2025-08-04
PO-DIST-1063,2025-07-18,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,215960.0,SUBMITTED,,2025-08-02
PO-DIST-1064,2025-07-18,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,233610.0,FULFILLED,,2025-08-05
PO-DIST-1065,2025-07-18,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,209692.0,FULFILLED,,2025-08-05
PO-DIST-1066,2025-07-18,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,79961.0,FULFILLED,,2025-08-04
PO-DIST-1067,2025-07-21,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,467466.0,FULFILLED,,2025-08-10
PO-DIST-1068,2025-07-21,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,440936.0,FULFILLED,,2025-08-01
PO-DIST-1069,2025-07-21,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,129878.0,FULFILLED,,2025-08-10
PO-DIST-1070,2025-07-21,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,127532.0,FULFILLED,,2025-07-31
PO-DIST-1071,2025-07-21,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,232774.0,FULFILLED,,2025-08-09
PO-DIST-1072,2025-07-21,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,211329.0,FULFILLED,,2025-08-05
PO-DIST-1073,2025-07-21,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,343478.0,FULFILLED,,2025-08-02
PO-DIST-1074,2025-07-21,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,150069.0,FULFILLED,,2025-08-02
PO-DIST-1075,2025-07-23,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,247936.0,FULFILLED,,2025-08-04
PO-DIST-1076,2025-07-23,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,263702.0,FULFILLED,,2025-08-03
PO-DIST-1077,2025-07-23,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,448386.0,FULFILLED,,2025-08-02
PO-DIST-1078,2025-07-23,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,148036.0,FULFILLED,,2025-08-03
PO-DIST-1079,2025-07-23,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,125801.0,FULFILLED,,2025-08-04
PO-DIST-1080,2025-07-23,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,294107.0,FULFILLED,,2025-08-02
PO-DIST-1081,2025-07-23,NA-Central,DIST-GREATLAKES-SUPPLY,TIER_2_REGIONAL,135144.0,FULFILLED,,2025-08-08
PO-DIST-1082,2025-07-23,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,447351.0,FULFILLED,,2025-08-05
PO-DIST-1083,2025-07-23,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,267615.0,FULFILLED,,2025-08-09
PO-DIST-1084,2025-07-23,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,286342.0,FULFILLED,,2025-08-13
PO-DIST-1085,2025-07-23,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,65719.0,FULFILLED,,2025-08-08
PO-DIST-1086,2025-07-25,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,310781.0,FULFILLED,,2025-08-08
PO-DIST-1087,2025-07-25,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,347044.0,FULFILLED,,2025-08-05
PO-DIST-1088,2025-07-25,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,447247.0,FULFILLED,,2025-08-12
PO-DIST-1089,2025-07-25,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,321985.0,FULFILLED,,2025-08-08
PO-DIST-1090,2025-07-25,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,440116.0,FULFILLED,,2025-08-11
PO-DIST-1091,2025-07-25,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,290667.0,FULFILLED,,2025-08-11
PO-DIST-1092,2025-07-25,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,392388.0,FULFILLED,,2025-08-08
PO-DIST-1093,2025-07-25,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,159159.0,FULFILLED,,2025-08-09
PO-DIST-1094,2025-07-28,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,204667.0,FULFILLED,,2025-08-13
PO-DIST-1095,2025-07-28,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,349802.0,FULFILLED,,2025-08-16
PO-DIST-1096,2025-07-28,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,467552.0,FULFILLED,,2025-08-18
PO-DIST-1097,2025-07-28,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,133540.0,FULFILLED,,2025-08-08
PO-DIST-1098,2025-07-28,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,125463.0,FULFILLED,,2025-08-10
PO-DIST-1099,2025-07-28,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,333870.0,FULFILLED,,2025-08-10
PO-DIST-1100,2025-07-28,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,326683.0,FULFILLED,,2025-08-12
PO-DIST-1101,2025-07-28,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,223356.0,FULFILLED,,2025-08-13
PO-DIST-1102,2025-07-28,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,231072.0,FULFILLED,,2025-08-17
PO-DIST-1103,2025-07-30,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,295614.0,FULFILLED,,2025-08-18
PO-DIST-1104,2025-07-30,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,391059.0,FULFILLED,,2025-08-14
PO-DIST-1105,2025-07-30,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,257537.0,FULFILLED,,2025-08-14
PO-DIST-1106,2025-07-30,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,159927.0,SUBMITTED,,2025-08-13
PO-DIST-1107,2025-07-30,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,75557.0,FULFILLED,,2025-08-16
PO-DIST-1108,2025-07-30,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,126139.0,FULFILLED,,2025-08-16
PO-DIST-1109,2025-07-30,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,410807.0,FULFILLED,,2025-08-19
PO-DIST-1110,2025-07-30,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,431033.0,FULFILLED,,2025-08-14
PO-DIST-1111,2025-07-30,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,392468.0,FULFILLED,,2025-08-13
PO-DIST-1112,2025-07-30,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,252766.0,FULFILLED,,2025-08-18
PO-DIST-1113,2025-08-01,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,395813.0,FULFILLED,,2025-08-18
PO-DIST-1114,2025-08-01,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,413281.0,FULFILLED,,2025-08-14
PO-DIST-1115,2025-08-01,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,73966.0,FULFILLED,,2025-08-15
PO-DIST-1116,2025-08-01,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,326612.0,SUBMITTED,,2025-08-12
PO-DIST-1117,2025-08-01,NA-Central,DIST-GREATLAKES-SUPPLY,TIER_2_REGIONAL,112497.0,FULFILLED,,2025-08-18
PO-DIST-1118,2025-08-01,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,372239.0,FULFILLED,,2025-08-17
PO-DIST-1119,2025-08-01,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,291860.0,FULFILLED,,2025-08-16
PO-DIST-1120,2025-08-01,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,250476.0,FULFILLED,,2025-08-14
PO-DIST-1121,2025-08-01,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,66475.0,FULFILLED,,2025-08-21
PO-DIST-1122,2025-08-04,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,202917.0,FULFILLED,,2025-08-24
PO-DIST-1123,2025-08-04,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,419402.0,FULFILLED,,2025-08-20
PO-DIST-1124,2025-08-04,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,121643.0,FULFILLED,,2025-08-21
PO-DIST-1125,2025-08-04,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,75449.0,FULFILLED,,2025-08-21
PO-DIST-1126,2025-08-04,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,82481.0,FULFILLED,,2025-08-19
PO-DIST-1127,2025-08-04,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,238844.0,FULFILLED,,2025-08-24
PO-DIST-1128,2025-08-04,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,415152.0,FULFILLED,,2025-08-25
PO-DIST-1129,2025-08-04,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,236466.0,FULFILLED,,2025-08-22
PO-DIST-1130,2025-08-04,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,336798.0,FULFILLED,,2025-08-17
PO-DIST-1131,2025-08-06,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,269856.0,FULFILLED,,2025-08-17
PO-DIST-1132,2025-08-06,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,242271.0,FULFILLED,,2025-08-21
PO-DIST-1133,2025-08-06,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,261704.0,FULFILLED,,2025-08-26
PO-DIST-1134,2025-08-06,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,69629.0,FULFILLED,,2025-08-25
PO-DIST-1135,2025-08-06,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,278072.0,FULFILLED,,2025-08-19
PO-DIST-1136,2025-08-06,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,427000.0,FULFILLED,,2025-08-17
PO-DIST-1137,2025-08-06,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,354662.0,FULFILLED,,2025-08-20
PO-DIST-1138,2025-08-06,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,138696.0,FULFILLED,,2025-08-22
PO-DIST-1139,2025-08-08,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,474635.0,FULFILLED,,2025-08-26
PO-DIST-1140,2025-08-08,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,233875.0,FULFILLED,,2025-08-28
PO-DIST-1141,2025-08-08,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,191511.0,FULFILLED,,2025-08-25
PO-DIST-1142,2025-08-08,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,69208.0,FULFILLED,,2025-08-20
PO-DIST-1143,2025-08-08,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,473439.0,FULFILLED,,2025-08-27
PO-DIST-1144,2025-08-08,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,456539.0,FULFILLED,,2025-08-24
PO-DIST-1145,2025-08-08,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,376034.0,FULFILLED,,2025-08-24
PO-DIST-1146,2025-08-11,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,307016.0,FULFILLED,,2025-08-30
PO-DIST-1147,2025-08-11,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,457286.0,FULFILLED,,2025-08-22
PO-DIST-1148,2025-08-11,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,333178.0,FULFILLED,,2025-08-30
PO-DIST-1149,2025-08-11,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,80034.0,FULFILLED,,2025-08-30
PO-DIST-1150,2025-08-11,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,475665.0,FULFILLED,,2025-08-31
PO-DIST-1151,2025-08-11,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,448863.0,FULFILLED,,2025-09-01
PO-DIST-1152,2025-08-11,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,402204.0,SUBMITTED,,2025-08-23
PO-DIST-1153,2025-08-13,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,432452.0,FULFILLED,,2025-08-27
PO-DIST-1154,2025-08-13,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,91739.0,FULFILLED,,2025-08-29
PO-DIST-1155,2025-08-13,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,156888.0,FULFILLED,,2025-08-27
PO-DIST-1156,2025-08-13,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,445639.0,FULFILLED,,2025-08-31
PO-DIST-1157,2025-08-13,NA-Central,DIST-GREATLAKES-SUPPLY,TIER_2_REGIONAL,89505.0,FULFILLED,,2025-09-03
PO-DIST-1158,2025-08-13,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,339917.0,FULFILLED,,2025-08-25
PO-DIST-1159,2025-08-13,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,212367.0,FULFILLED,,2025-08-27
PO-DIST-1160,2025-08-13,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,227056.0,FULFILLED,,2025-08-23
PO-DIST-1161,2025-08-13,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,135557.0,FULFILLED,,2025-08-23
PO-DIST-1162,2025-08-15,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,331717.0,FULFILLED,,2025-09-01
PO-DIST-1163,2025-08-15,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,364171.0,FULFILLED,,2025-09-01
PO-DIST-1164,2025-08-15,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,320169.0,FULFILLED,,2025-08-27
PO-DIST-1165,2025-08-15,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,466713.0,FULFILLED,,2025-08-25
PO-DIST-1166,2025-08-15,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,131803.0,FULFILLED,,2025-08-26
PO-DIST-1167,2025-08-18,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,286757.0,FULFILLED,,2025-09-08
PO-DIST-1168,2025-08-18,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,431867.0,FULFILLED,,2025-08-30
PO-DIST-1169,2025-08-18,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,439876.0,FULFILLED,,2025-08-28
PO-DIST-1170,2025-08-18,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,85863.0,FULFILLED,,2025-09-06
PO-DIST-1171,2025-08-18,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,125294.0,FULFILLED,,2025-08-31
PO-DIST-1172,2025-08-18,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,363171.0,FULFILLED,,2025-09-08
PO-DIST-1173,2025-08-18,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,203674.0,FULFILLED,,2025-09-08
PO-DIST-1174,2025-08-18,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,322441.0,FULFILLED,,2025-09-05
PO-DIST-1175,2025-08-18,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,455490.0,FULFILLED,,2025-09-03
PO-DIST-1176,2025-08-20,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,288141.0,FULFILLED,,2025-09-04
PO-DIST-1177,2025-08-20,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,277842.0,FULFILLED,,2025-09-01
PO-DIST-1178,2025-08-20,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,94428.0,FULFILLED,,2025-09-07
PO-DIST-1179,2025-08-20,NA-Central,DIST-GREATLAKES-SUPPLY,TIER_2_REGIONAL,128102.0,FULFILLED,,2025-09-05
PO-DIST-1180,2025-08-20,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,342080.0,FULFILLED,,2025-09-09
PO-DIST-1181,2025-08-20,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,257343.0,FULFILLED,,2025-09-02
PO-DIST-1182,2025-08-20,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,345829.0,FULFILLED,,2025-09-07
PO-DIST-1183,2025-08-20,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,146728.0,FULFILLED,,2025-09-05
PO-DIST-1184,2025-08-22,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,328815.0,FULFILLED,,2025-09-02
PO-DIST-1185,2025-08-22,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,350136.0,FULFILLED,,2025-09-12
PO-DIST-1186,2025-08-22,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,436107.0,FULFILLED,,2025-09-07
PO-DIST-1187,2025-08-22,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,75011.0,FULFILLED,,2025-09-04
PO-DIST-1188,2025-08-22,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,78296.0,FULFILLED,,2025-09-07
PO-DIST-1189,2025-08-22,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,298622.0,FULFILLED,,2025-09-08
PO-DIST-1190,2025-08-22,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,322461.0,FULFILLED,,2025-09-01
PO-DIST-1191,2025-08-22,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,380073.0,FULFILLED,,2025-09-06
