snapshot_id,snapshot_date,dc_location,region,sku_id,on_hand_units,available_units,required_demand_units,availability_percentage,stockout_status,reorder_in_transit_units
INV-SNAP-10061,2025-07-03,Atlanta-DC-01,NA-East,SKU-8821,3939,3247,3333,97.42,false,0
INV-SNAP-10062,2025-07-03,Atlanta-DC-01,NA-East,SKU-4410,3353,2672,2800,95.43,false,5000
INV-SNAP-10063,2025-07-03,Atlanta-DC-01,NA-East,SKU-5520,3162,2824,2931,96.35,false,0
INV-SNAP-10064,2025-07-03,Atlanta-DC-01,NA-East,SKU-9930,3762,3135,3329,94.17,false,5000
INV-SNAP-10065,2025-07-03,Atlanta-DC-01,NA-East,SKU-2205,3279,2631,2781,94.61,false,1500
INV-SNAP-10066,2025-07-03,Charlotte-DC-02,NA-East,SKU-8821,3424,2819,2938,95.95,false,5000
INV-SNAP-10067,2025-07-03,Charlotte-DC-02,NA-East,SKU-4410,3461,3093,3233,95.67,false,1500
INV-SNAP-10068,2025-07-03,Charlotte-DC-02,NA-East,SKU-5520,3501,2834,2909,97.42,false,1500
INV-SNAP-10069,2025-07-03,Charlotte-DC-02,NA-East,SKU-9930,3842,3264,3346,97.55,false,0
INV-SNAP-10070,2025-07-03,Charlotte-DC-02,NA-East,SKU-2205,3754,3187,3273,97.37,false,0
INV-SNAP-10071,2025-07-03,Chicago-DC-01,NA-Central,SKU-8821,3826,3166,3293,96.14,false,0
INV-SNAP-10072,2025-07-03,Chicago-DC-01,NA-Central,SKU-4410,3565,2933,2998,97.83,false,3000
INV-SNAP-10073,2025-07-03,Chicago-DC-01,NA-Central,SKU-5520,3501,2993,3171,94.39,false,5000
INV-SNAP-10074,2025-07-03,Chicago-DC-01,NA-Central,SKU-9930,3477,3118,3227,96.62,false,1500
INV-SNAP-10075,2025-07-03,Chicago-DC-01,NA-Central,SKU-2205,3634,3221,3308,97.37,false,0
INV-SNAP-10076,2025-07-03,Dallas-DC-02,NA-Central,SKU-8821,3853,3169,3296,96.15,false,5000
INV-SNAP-10077,2025-07-03,Dallas-DC-02,NA-Central,SKU-4410,3171,2825,2971,95.09,false,5000
INV-SNAP-10078,2025-07-03,Dallas-DC-02,NA-Central,SKU-5520,3228,2686,2774,96.83,false,1500
INV-SNAP-10079,2025-07-03,Dallas-DC-02,NA-Central,SKU-9930,3285,2857,3038,94.04,false,5000
INV-SNAP-10080,2025-07-03,Dallas-DC-02,NA-Central,SKU-2205,3143,2807,2873,97.7,false,3000
INV-SNAP-10081,2025-07-03,Reno-DC-01,NA-West,SKU-8821,3670,3033,3151,96.26,false,5000
INV-SNAP-10082,2025-07-03,Reno-DC-01,NA-West,SKU-4410,2926,2600,2665,97.56,false,1500
INV-SNAP-10083,2025-07-03,Reno-DC-01,NA-West,SKU-5520,3309,2750,2860,96.15,false,0
INV-SNAP-10084,2025-07-03,Reno-DC-01,NA-West,SKU-9930,3488,2922,3017,96.85,false,1500
INV-SNAP-10085,2025-07-03,Reno-DC-01,NA-West,SKU-2205,3876,3218,3378,95.26,false,1500
INV-SNAP-10086,2025-07-03,Seattle-DC-02,NA-West,SKU-8821,3164,2770,2935,94.38,false,5000
INV-SNAP-10087,2025-07-03,Seattle-DC-02,NA-West,SKU-4410,3307,2965,3078,96.33,false,0
INV-SNAP-10088,2025-07-03,Seattle-DC-02,NA-West,SKU-5520,3769,3109,3209,96.88,false,0
INV-SNAP-10089,2025-07-03,Seattle-DC-02,NA-West,SKU-9930,3175,2540,2665,95.31,false,1500
INV-SNAP-10090,2025-07-03,Seattle-DC-02,NA-West,SKU-2205,3504,3033,3196,94.9,false,3000
INV-SNAP-10091,2025-07-04,Atlanta-DC-01,NA-East,SKU-8821,3177,2730,2819,96.84,false,1500
INV-SNAP-10092,2025-07-04,Atlanta-DC-01,NA-East,SKU-4410,3164,2652,2722,97.43,false,1500
INV-SNAP-10093,2025-07-04,Atlanta-DC-01,NA-East,SKU-5520,3269,2946,3012,97.81,false,1500
INV-SNAP-10094,2025-07-04,Atlanta-DC-01,NA-East,SKU-9930,3600,2900,3035,95.55,false,3000
INV-SNAP-10095,2025-07-04,Atlanta-DC-01,NA-East,SKU-2205,3972,3287,3376,97.36,false,0
INV-SNAP-10096,2025-07-04,Charlotte-DC-02,NA-East,SKU-8821,3688,3125,3228,96.81,false,0
INV-SNAP-10097,2025-07-04,Charlotte-DC-02,NA-East,SKU-4410,3406,3071,3161,97.15,false,3000
INV-SNAP-10098,2025-07-04,Charlotte-DC-02,NA-East,SKU-5520,3212,2587,2671,96.86,false,0
INV-SNAP-10099,2025-07-04,Charlotte-DC-02,NA-East,SKU-9930,2896,2579,2734,94.33,false,0
INV-SNAP-10100,2025-07-04,Charlotte-DC-02,NA-East,SKU-2205,3160,2689,2758,97.5,false,5000
INV-SNAP-10101,2025-07-04,Chicago-DC-01,NA-Central,SKU-8821,3422,2885,2978,96.88,false,3000
INV-SNAP-10102,2025-07-04,Chicago-DC-01,NA-Central,SKU-4410,3543,3197,3307,96.67,false,5000
INV-SNAP-10103,2025-07-04,Chicago-DC-01,NA-Central,SKU-5520,3399,3073,3261,94.23,false,3000
INV-SNAP-10104,2025-07-04,Chicago-DC-01,NA-Central,SKU-9930,3325,2759,2919,94.52,false,3000
INV-SNAP-10105,2025-07-04,Chicago-DC-01,NA-Central,SKU-2205,3684,3010,3148,95.62,false,5000
INV-SNAP-10106,2025-07-04,Dallas-DC-02,NA-Central,SKU-8821,3573,2957,3042,97.21,false,0
INV-SNAP-10107,2025-07-04,Dallas-DC-02,NA-Central,SKU-4410,3219,2564,2625,97.68,false,3000
INV-SNAP-10108,2025-07-04,Dallas-DC-02,NA-Central,SKU-5520,3267,2796,2928,95.49,false,1500
INV-SNAP-10109,2025-07-04,Dallas-DC-02,NA-Central,SKU-9930,3928,3249,3320,97.86,false,0
INV-SNAP-10110,2025-07-04,Dallas-DC-02,NA-Central,SKU-2205,3704,3029,3113,97.3,false,3000
INV-SNAP-10111,2025-07-04,Reno-DC-01,NA-West,SKU-8821,3540,3192,3357,95.08,false,5000
INV-SNAP-10112,2025-07-04,Reno-DC-01,NA-West,SKU-4410,3345,2653,2806,94.55,false,5000
INV-SNAP-10113,2025-07-04,Reno-DC-01,NA-West,SKU-5520,3380,2995,3172,94.42,false,0
INV-SNAP-10114,2025-07-04,Reno-DC-01,NA-West,SKU-9930,3263,2678,2813,95.2,false,0
INV-SNAP-10115,2025-07-04,Reno-DC-01,NA-West,SKU-2205,3588,3076,3146,97.77,false,5000
INV-SNAP-10116,2025-07-04,Seattle-DC-02,NA-West,SKU-8821,3334,2872,3033,94.69,false,0
INV-SNAP-10117,2025-07-04,Seattle-DC-02,NA-West,SKU-4410,3382,2907,2976,97.68,false,3000
INV-SNAP-10118,2025-07-04,Seattle-DC-02,NA-West,SKU-5520,3609,3215,3373,95.32,false,5000
INV-SNAP-10119,2025-07-04,Seattle-DC-02,NA-West,SKU-9930,3635,2945,3021,97.48,false,3000
INV-SNAP-10120,2025-07-04,Seattle-DC-02,NA-West,SKU-2205,3493,3016,3100,97.29,false,0
INV-SNAP-10121,2025-07-05,Atlanta-DC-01,NA-East,SKU-8821,3350,2902,3020,96.09,false,1500
INV-SNAP-10122,2025-07-05,Atlanta-DC-01,NA-East,SKU-4410,3192,2818,2890,97.51,false,1500
INV-SNAP-10123,2025-07-05,Atlanta-DC-01,NA-East,SKU-5520,3710,3133,3236,96.82,false,0
INV-SNAP-10124,2025-07-05,Atlanta-DC-01,NA-East,SKU-9930,3239,2574,2690,95.69,false,0
INV-SNAP-10125,2025-07-05,Atlanta-DC-01,NA-East,SKU-2205,3690,3039,3209,94.7,false,5000
INV-SNAP-10126,2025-07-05,Charlotte-DC-02,NA-East,SKU-8821,3446,2763,2852,96.88,false,3000
INV-SNAP-10127,2025-07-05,Charlotte-DC-02,NA-East,SKU-4410,3563,3068,3252,94.34,false,5000
INV-SNAP-10128,2025-07-05,Charlotte-DC-02,NA-East,SKU-5520,2922,2618,2695,97.14,false,3000
INV-SNAP-10129,2025-07-05,Charlotte-DC-02,NA-East,SKU-9930,3642,3210,3386,94.8,false,0
INV-SNAP-10130,2025-07-05,Charlotte-DC-02,NA-East,SKU-2205,3439,3063,3242,94.48,false,1500
INV-SNAP-10131,2025-07-05,Chicago-DC-01,NA-Central,SKU-8821,3111,2549,2609,97.7,false,5000
INV-SNAP-10132,2025-07-05,Chicago-DC-01,NA-Central,SKU-4410,3853,3198,3397,94.14,false,5000
INV-SNAP-10133,2025-07-05,Chicago-DC-01,NA-Central,SKU-5520,3845,3195,3333,95.86,false,5000
INV-SNAP-10134,2025-07-05,Chicago-DC-01,NA-Central,SKU-9930,3352,2867,2935,97.68,false,5000
INV-SNAP-10135,2025-07-05,Chicago-DC-01,NA-Central,SKU-2205,3490,2837,2970,95.52,false,3000
INV-SNAP-10136,2025-07-05,Dallas-DC-02,NA-Central,SKU-8821,3137,2679,2792,95.95,false,3000
INV-SNAP-10137,2025-07-05,Dallas-DC-02,NA-Central,SKU-4410,3397,2925,3018,96.92,false,0
INV-SNAP-10138,2025-07-05,Dallas-DC-02,NA-Central,SKU-5520,3615,2958,3067,96.45,false,3000
INV-SNAP-10139,2025-07-05,Dallas-DC-02,NA-Central,SKU-9930,3519,3158,3279,96.31,false,0
INV-SNAP-10140,2025-07-05,Dallas-DC-02,NA-Central,SKU-2205,3703,3098,3216,96.33,false,0
INV-SNAP-10141,2025-07-05,Reno-DC-01,NA-West,SKU-8821,3394,3085,3233,95.42,false,0
INV-SNAP-10142,2025-07-05,Reno-DC-01,NA-West,SKU-4410,3201,2694,2820,95.53,false,1500
INV-SNAP-10143,2025-07-05,Reno-DC-01,NA-West,SKU-5520,3751,3277,3382,96.9,false,1500
INV-SNAP-10144,2025-07-05,Reno-DC-01,NA-West,SKU-9930,3505,3156,3350,94.21,false,0
INV-SNAP-10145,2025-07-05,Reno-DC-01,NA-West,SKU-2205,3335,2796,2972,94.08,false,1500
INV-SNAP-10146,2025-07-05,Seattle-DC-02,NA-West,SKU-8821,2882,2499,2634,94.87,false,1500
INV-SNAP-10147,2025-07-05,Seattle-DC-02,NA-West,SKU-4410,3309,2764,2882,95.91,false,5000
INV-SNAP-10148,2025-07-05,Seattle-DC-02,NA-West,SKU-5520,3497,2913,3028,96.2,false,5000
INV-SNAP-10149,2025-07-05,Seattle-DC-02,NA-West,SKU-9930,3374,2924,3056,95.68,false,0
INV-SNAP-10150,2025-07-05,Seattle-DC-02,NA-West,SKU-2205,3202,2584,2691,96.02,false,0
INV-SNAP-10151,2025-07-06,Atlanta-DC-01,NA-East,SKU-8821,3715,3080,3276,94.02,false,0
INV-SNAP-10152,2025-07-06,Atlanta-DC-01,NA-East,SKU-4410,3038,2648,2759,95.98,false,5000
INV-SNAP-10153,2025-07-06,Atlanta-DC-01,NA-East,SKU-5520,3231,2757,2890,95.4,false,3000
INV-SNAP-10154,2025-07-06,Atlanta-DC-01,NA-East,SKU-9930,3458,3055,3246,94.12,false,5000
INV-SNAP-10155,2025-07-06,Atlanta-DC-01,NA-East,SKU-2205,3398,2805,2864,97.94,false,1500
INV-SNAP-10156,2025-07-06,Charlotte-DC-02,NA-East,SKU-8821,2958,2619,2694,97.22,false,5000
INV-SNAP-10157,2025-07-06,Charlotte-DC-02,NA-East,SKU-4410,3723,3089,3279,94.21,false,0
INV-SNAP-10158,2025-07-06,Charlotte-DC-02,NA-East,SKU-5520,3772,3152,3241,97.25,false,3000
INV-SNAP-10159,2025-07-06,Charlotte-DC-02,NA-East,SKU-9930,2991,2575,2641,97.5,false,3000
INV-SNAP-10160,2025-07-06,Charlotte-DC-02,NA-East,SKU-2205,3828,3197,3268,97.83,false,1500
INV-SNAP-10161,2025-07-06,Chicago-DC-01,NA-Central,SKU-8821,3317,2768,2915,94.96,false,3000
INV-SNAP-10162,2025-07-06,Chicago-DC-01,NA-Central,SKU-4410,3279,2760,2891,95.47,false,5000
INV-SNAP-10163,2025-07-06,Chicago-DC-01,NA-Central,SKU-5520,3217,2745,2813,97.58,false,5000
INV-SNAP-10164,2025-07-06,Chicago-DC-01,NA-Central,SKU-9930,3370,2701,2813,96.02,false,1500
INV-SNAP-10165,2025-07-06,Chicago-DC-01,NA-Central,SKU-2205,3378,2745,2809,97.72,false,5000
INV-SNAP-10166,2025-07-06,Dallas-DC-02,NA-Central,SKU-8821,3781,3136,3301,95.0,false,1500
INV-SNAP-10167,2025-07-06,Dallas-DC-02,NA-Central,SKU-4410,2976,2606,2681,97.2,false,0
INV-SNAP-10168,2025-07-06,Dallas-DC-02,NA-Central,SKU-5520,3169,2818,2964,95.07,false,5000
INV-SNAP-10169,2025-07-06,Dallas-DC-02,NA-Central,SKU-9930,3440,3115,3265,95.41,false,5000
INV-SNAP-10170,2025-07-06,Dallas-DC-02,NA-Central,SKU-2205,3300,2884,3041,94.84,false,3000
INV-SNAP-10171,2025-07-06,Reno-DC-01,NA-West,SKU-8821,3183,2499,2626,95.16,false,3000
INV-SNAP-10172,2025-07-06,Reno-DC-01,NA-West,SKU-4410,3705,3216,3341,96.26,false,5000
INV-SNAP-10173,2025-07-06,Reno-DC-01,NA-West,SKU-5520,3092,2595,2702,96.04,false,3000
INV-SNAP-10174,2025-07-06,Reno-DC-01,NA-West,SKU-9930,3511,3038,3171,95.81,false,1500
INV-SNAP-10175,2025-07-06,Reno-DC-01,NA-West,SKU-2205,3371,2945,3016,97.65,false,1500
INV-SNAP-10176,2025-07-06,Seattle-DC-02,NA-West,SKU-8821,3164,2540,2637,96.32,false,0
INV-SNAP-10177,2025-07-06,Seattle-DC-02,NA-West,SKU-4410,3312,2616,2751,95.09,false,1500
INV-SNAP-10178,2025-07-06,Seattle-DC-02,NA-West,SKU-5520,2924,2564,2674,95.89,false,0
INV-SNAP-10179,2025-07-06,Seattle-DC-02,NA-West,SKU-9930,3400,2881,2976,96.81,false,3000
INV-SNAP-10180,2025-07-06,Seattle-DC-02,NA-West,SKU-2205,3476,2929,3102,94.42,false,1500
INV-SNAP-10181,2025-07-07,Atlanta-DC-01,NA-East,SKU-8821,3167,2814,2897,97.13,false,1500
INV-SNAP-10182,2025-07-07,Atlanta-DC-01,NA-East,SKU-4410,3440,2785,2950,94.41,false,1500
INV-SNAP-10183,2025-07-07,Atlanta-DC-01,NA-East,SKU-5520,3788,3107,3194,97.28,false,1500
INV-SNAP-10184,2025-07-07,Atlanta-DC-01,NA-East,SKU-9930,3671,3076,3215,95.68,false,1500
INV-SNAP-10185,2025-07-07,Atlanta-DC-01,NA-East,SKU-2205,3410,3013,3201,94.13,false,5000
INV-SNAP-10186,2025-07-07,Charlotte-DC-02,NA-East,SKU-8821,3503,3084,3231,95.45,false,3000
INV-SNAP-10187,2025-07-07,Charlotte-DC-02,NA-East,SKU-4410,3241,2619,2695,97.18,false,0
INV-SNAP-10188,2025-07-07,Charlotte-DC-02,NA-East,SKU-5520,3655,3089,3182,97.08,false,5000
INV-SNAP-10189,2025-07-07,Charlotte-DC-02,NA-East,SKU-9930,3815,3211,3388,94.78,false,5000
INV-SNAP-10190,2025-07-07,Charlotte-DC-02,NA-East,SKU-2205,3048,2744,2902,94.56,false,0
INV-SNAP-10191,2025-07-07,Chicago-DC-01,NA-Central,SKU-8821,3696,3203,3287,97.44,false,5000
INV-SNAP-10192,2025-07-07,Chicago-DC-01,NA-Central,SKU-4410,3641,3214,3376,95.2,false,5000
INV-SNAP-10193,2025-07-07,Chicago-DC-01,NA-Central,SKU-5520,3397,2895,3076,94.12,false,5000
INV-SNAP-10194,2025-07-07,Chicago-DC-01,NA-Central,SKU-9930,3214,2703,2859,94.54,false,1500
INV-SNAP-10195,2025-07-07,Chicago-DC-01,NA-Central,SKU-2205,2965,2651,2813,94.24,false,3000
INV-SNAP-10196,2025-07-07,Dallas-DC-02,NA-Central,SKU-8821,3349,2652,2803,94.61,false,0
INV-SNAP-10197,2025-07-07,Dallas-DC-02,NA-Central,SKU-4410,3444,3077,3233,95.17,false,0
INV-SNAP-10198,2025-07-07,Dallas-DC-02,NA-Central,SKU-5520,3566,3226,3355,96.15,false,1500
INV-SNAP-10199,2025-07-07,Dallas-DC-02,NA-Central,SKU-9930,3171,2842,2919,97.36,false,3000
INV-SNAP-10200,2025-07-07,Dallas-DC-02,NA-Central,SKU-2205,3172,2733,2850,95.89,false,1500
INV-SNAP-10201,2025-07-07,Reno-DC-01,NA-West,SKU-8821,2998,2570,2705,95.01,false,3000
INV-SNAP-10202,2025-07-07,Reno-DC-01,NA-West,SKU-4410,3250,2660,2787,95.44,false,1500
INV-SNAP-10203,2025-07-07,Reno-DC-01,NA-West,SKU-5520,3251,2632,2742,95.99,false,1500
INV-SNAP-10204,2025-07-07,Reno-DC-01,NA-West,SKU-9930,3112,2672,2787,95.87,false,0
INV-SNAP-10205,2025-07-07,Reno-DC-01,NA-West,SKU-2205,3115,2550,2680,95.15,false,0
INV-SNAP-10206,2025-07-07,Seattle-DC-02,NA-West,SKU-8821,3529,2887,2994,96.43,false,1500
INV-SNAP-10207,2025-07-07,Seattle-DC-02,NA-West,SKU-4410,3596,3200,3333,96.01,false,5000
INV-SNAP-10208,2025-07-07,Seattle-DC-02,NA-West,SKU-5520,3171,2605,2734,95.28,false,3000
INV-SNAP-10209,2025-07-07,Seattle-DC-02,NA-West,SKU-9930,3315,2637,2718,97.02,false,1500
INV-SNAP-10210,2025-07-07,Seattle-DC-02,NA-West,SKU-2205,2939,2610,2727,95.71,false,5000
INV-SNAP-10211,2025-07-08,Atlanta-DC-01,NA-East,SKU-8821,3497,2805,2875,97.57,false,0
INV-SNAP-10212,2025-07-08,Atlanta-DC-01,NA-East,SKU-4410,3851,3266,3369,96.94,false,0
INV-SNAP-10213,2025-07-08,Atlanta-DC-01,NA-East,SKU-5520,3677,3100,3198,96.94,false,1500
INV-SNAP-10214,2025-07-08,Atlanta-DC-01,NA-East,SKU-9930,3695,3155,3351,94.15,false,5000
INV-SNAP-10215,2025-07-08,Atlanta-DC-01,NA-East,SKU-2205,3342,2687,2748,97.78,false,0
INV-SNAP-10216,2025-07-08,Charlotte-DC-02,NA-East,SKU-8821,3134,2596,2688,96.58,false,3000
INV-SNAP-10217,2025-07-08,Charlotte-DC-02,NA-East,SKU-4410,3526,3205,3373,95.02,false,3000
INV-SNAP-10218,2025-07-08,Charlotte-DC-02,NA-East,SKU-5520,3188,2537,2663,95.27,false,0
INV-SNAP-10219,2025-07-08,Charlotte-DC-02,NA-East,SKU-9930,3437,2794,2855,97.86,false,0
INV-SNAP-10220,2025-07-08,Charlotte-DC-02,NA-East,SKU-2205,3130,2617,2765,94.65,false,1500
INV-SNAP-10221,2025-07-08,Chicago-DC-01,NA-Central,SKU-8821,3283,2757,2906,94.87,false,1500
INV-SNAP-10222,2025-07-08,Chicago-DC-01,NA-Central,SKU-4410,3371,2673,2769,96.53,false,3000
INV-SNAP-10223,2025-07-08,Chicago-DC-01,NA-Central,SKU-5520,3632,3219,3302,97.49,false,3000
INV-SNAP-10224,2025-07-08,Chicago-DC-01,NA-Central,SKU-9930,3483,2966,3115,95.22,false,1500
INV-SNAP-10225,2025-07-08,Chicago-DC-01,NA-Central,SKU-2205,3797,3198,3269,97.83,false,3000
INV-SNAP-10226,2025-07-08,Dallas-DC-02,NA-Central,SKU-8821,3231,2835,2928,96.82,false,1500
INV-SNAP-10227,2025-07-08,Dallas-DC-02,NA-Central,SKU-4410,3152,2610,2754,94.77,false,3000
INV-SNAP-10228,2025-07-08,Dallas-DC-02,NA-Central,SKU-5520,3376,2996,3086,97.08,false,3000
INV-SNAP-10229,2025-07-08,Dallas-DC-02,NA-Central,SKU-9930,3490,3158,3255,97.02,false,5000
INV-SNAP-10230,2025-07-08,Dallas-DC-02,NA-Central,SKU-2205,3298,2875,2989,96.19,false,3000
INV-SNAP-10231,2025-07-08,Reno-DC-01,NA-West,SKU-8821,3674,3191,3378,94.46,false,3000
INV-SNAP-10232,2025-07-08,Reno-DC-01,NA-West,SKU-4410,3054,2734,2893,94.5,false,5000
INV-SNAP-10233,2025-07-08,Reno-DC-01,NA-West,SKU-5520,3266,2781,2930,94.91,false,3000
INV-SNAP-10234,2025-07-08,Reno-DC-01,NA-West,SKU-9930,3322,2849,2963,96.15,false,3000
INV-SNAP-10235,2025-07-08,Reno-DC-01,NA-West,SKU-2205,3712,3087,3185,96.92,false,0
INV-SNAP-10236,2025-07-08,Seattle-DC-02,NA-West,SKU-8821,3418,2981,3142,94.88,false,0
INV-SNAP-10237,2025-07-08,Seattle-DC-02,NA-West,SKU-4410,3411,2982,3083,96.72,false,5000
INV-SNAP-10238,2025-07-08,Seattle-DC-02,NA-West,SKU-5520,3381,2797,2880,97.12,false,3000
