ticket_id,created_at,region,source_entity,category,severity,subject,content_summary,sentiment_score
ZD-TK-1019,2025-07-03T16:34:00Z,NA-East,DIST-TRI-STATE-OPS,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.24
ZD-TK-1020,2025-07-03T13:06:00Z,NA-East,DIST-COASTAL-WHOLESALE,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-COASTAL-WHOLESALE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.0
ZD-TK-1021,2025-07-03T08:34:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.12
ZD-TK-1022,2025-07-03T17:59:00Z,NA-Central,DIST-MIDWEST-DIRECT,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-MIDWEST-DIRECT,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.21
ZD-TK-1023,2025-07-03T12:19:00Z,NA-West,DIST-MOUNTAIN-PARTS,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.09
ZD-TK-1024,2025-07-03T08:34:00Z,NA-West,DIST-MOUNTAIN-PARTS,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.05
ZD-TK-1025,2025-07-03T14:46:00Z,NA-West,DIST-PACIFIC-LOGISTICS,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.07
ZD-TK-1026,2025-07-04T11:57:00Z,NA-East,DIST-TRI-STATE-OPS,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.06
ZD-TK-1027,2025-07-04T16:47:00Z,NA-East,DIST-TRI-STATE-OPS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.27
ZD-TK-1028,2025-07-04T12:57:00Z,NA-East,DIST-TRI-STATE-OPS,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.21
ZD-TK-1029,2025-07-04T13:17:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.14
ZD-TK-1030,2025-07-04T12:33:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.11
ZD-TK-1031,2025-07-04T15:12:00Z,NA-West,DIST-MOUNTAIN-PARTS,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.32
ZD-TK-1032,2025-07-04T15:30:00Z,NA-West,DIST-CAL-ENTERPRISE,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.12
ZD-TK-1033,2025-07-04T10:36:00Z,NA-West,DIST-PACIFIC-LOGISTICS,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.19
ZD-TK-1034,2025-07-05T11:18:00Z,NA-East,DIST-APEX-EAST,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-APEX-EAST,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.07
ZD-TK-1035,2025-07-05T12:56:00Z,NA-East,DIST-MIDATL-SUPPLY,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-MIDATL-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.19
ZD-TK-1036,2025-07-05T12:07:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.05
ZD-TK-1037,2025-07-05T11:47:00Z,NA-West,DIST-CAL-ENTERPRISE,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.33
ZD-TK-1038,2025-07-05T09:30:00Z,NA-West,DIST-MOUNTAIN-PARTS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.06
ZD-TK-1039,2025-07-06T17:31:00Z,NA-East,DIST-SUNBELT-PARTS,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-SUNBELT-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.12
ZD-TK-1040,2025-07-06T11:46:00Z,NA-East,DIST-SUNBELT-PARTS,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-SUNBELT-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.14
ZD-TK-1041,2025-07-06T14:17:00Z,NA-East,DIST-TRI-STATE-OPS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.29
ZD-TK-1042,2025-07-06T12:34:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.14
ZD-TK-1043,2025-07-06T17:15:00Z,NA-West,DIST-PACIFIC-LOGISTICS,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.27
ZD-TK-1044,2025-07-06T11:03:00Z,NA-West,DIST-MOUNTAIN-PARTS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.08
ZD-TK-1045,2025-07-06T09:58:00Z,NA-West,DIST-MOUNTAIN-PARTS,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.13
ZD-TK-1046,2025-07-07T14:44:00Z,NA-East,DIST-COASTAL-WHOLESALE,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-COASTAL-WHOLESALE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.27
ZD-TK-1047,2025-07-07T15:37:00Z,NA-East,DIST-COASTAL-WHOLESALE,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-COASTAL-WHOLESALE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.33
ZD-TK-1048,2025-07-07T09:57:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.24
ZD-TK-1049,2025-07-07T13:37:00Z,NA-West,DIST-CAL-ENTERPRISE,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.05
ZD-TK-1050,2025-07-08T13:21:00Z,NA-East,DIST-TRI-STATE-OPS,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.02
ZD-TK-1051,2025-07-08T09:02:00Z,NA-East,DIST-TRI-STATE-OPS,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.04
ZD-TK-1052,2025-07-08T12:32:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.23
ZD-TK-1053,2025-07-08T12:07:00Z,NA-West,DIST-CAL-ENTERPRISE,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.1
ZD-TK-1054,2025-07-08T12:23:00Z,NA-West,DIST-CAL-ENTERPRISE,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.19
ZD-TK-1055,2025-07-08T14:14:00Z,NA-West,DIST-MOUNTAIN-PARTS,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.04
ZD-TK-1056,2025-07-09T09:13:00Z,NA-East,DIST-TRI-STATE-OPS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.12
ZD-TK-1057,2025-07-09T13:16:00Z,NA-East,DIST-COASTAL-WHOLESALE,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-COASTAL-WHOLESALE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.12
ZD-TK-1058,2025-07-09T08:13:00Z,NA-East,DIST-TRI-STATE-OPS,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.33
ZD-TK-1059,2025-07-09T16:56:00Z,NA-Central,DIST-MIDWEST-DIRECT,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-MIDWEST-DIRECT,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.05
ZD-TK-1060,2025-07-09T11:54:00Z,NA-West,DIST-CAL-ENTERPRISE,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.33
ZD-TK-1061,2025-07-09T13:16:00Z,NA-West,DIST-PACIFIC-LOGISTICS,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.01
ZD-TK-1062,2025-07-10T10:38:00Z,NA-East,DIST-TRI-STATE-OPS,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.1
ZD-TK-1063,2025-07-10T11:11:00Z,NA-East,DIST-EMPIRE-IND,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-EMPIRE-IND,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.1
ZD-TK-1064,2025-07-10T09:27:00Z,NA-East,DIST-MIDATL-SUPPLY,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-MIDATL-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.19
ZD-TK-1065,2025-07-10T11:34:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.21
ZD-TK-1066,2025-07-10T10:12:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.27
ZD-TK-1067,2025-07-10T10:06:00Z,NA-Central,DIST-MIDWEST-DIRECT,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-MIDWEST-DIRECT,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.17
ZD-TK-1068,2025-07-10T17:14:00Z,NA-West,DIST-MOUNTAIN-PARTS,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.22
ZD-TK-1069,2025-07-11T17:27:00Z,NA-East,DIST-MIDATL-SUPPLY,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-MIDATL-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.21
ZD-TK-1070,2025-07-11T14:40:00Z,NA-Central,DIST-MIDWEST-DIRECT,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-MIDWEST-DIRECT,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.22
ZD-TK-1071,2025-07-11T13:18:00Z,NA-West,DIST-PACIFIC-LOGISTICS,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.26
ZD-TK-1072,2025-07-12T10:33:00Z,NA-East,DIST-EMPIRE-IND,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-EMPIRE-IND,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.08
ZD-TK-1073,2025-07-12T08:53:00Z,NA-East,DIST-COASTAL-WHOLESALE,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-COASTAL-WHOLESALE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.25
ZD-TK-1074,2025-07-12T17:50:00Z,NA-East,DIST-APEX-EAST,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-APEX-EAST,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.29
ZD-TK-1075,2025-07-12T13:12:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.07
ZD-TK-1076,2025-07-12T16:00:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.3
ZD-TK-1077,2025-07-12T13:25:00Z,NA-Central,DIST-MIDWEST-DIRECT,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-MIDWEST-DIRECT,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.33
ZD-TK-1078,2025-07-12T12:52:00Z,NA-West,DIST-CAL-ENTERPRISE,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.34
ZD-TK-1079,2025-07-13T13:16:00Z,NA-East,DIST-MIDATL-SUPPLY,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-MIDATL-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.15
ZD-TK-1080,2025-07-13T08:17:00Z,NA-East,DIST-TRI-STATE-OPS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.34
ZD-TK-1081,2025-07-13T13:24:00Z,NA-East,DIST-APEX-EAST,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-APEX-EAST,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.24
ZD-TK-1082,2025-07-13T11:49:00Z,NA-Central,DIST-MIDWEST-DIRECT,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-MIDWEST-DIRECT,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.32
ZD-TK-1083,2025-07-13T13:05:00Z,NA-Central,DIST-MIDWEST-DIRECT,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-MIDWEST-DIRECT,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.15
ZD-TK-1084,2025-07-13T17:32:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.15
ZD-TK-1085,2025-07-13T16:11:00Z,NA-West,DIST-PACIFIC-LOGISTICS,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.01
ZD-TK-1086,2025-07-14T17:37:00Z,NA-East,DIST-TRI-STATE-OPS,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.19
ZD-TK-1087,2025-07-14T08:14:00Z,NA-East,DIST-TRI-STATE-OPS,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-TRI-STATE-OPS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.1
ZD-TK-1088,2025-07-14T14:39:00Z,NA-East,DIST-SUNBELT-PARTS,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-SUNBELT-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.16
ZD-TK-1089,2025-07-14T17:19:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.04
ZD-TK-1090,2025-07-14T11:10:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.28
ZD-TK-1091,2025-07-14T13:24:00Z,NA-West,DIST-CAL-ENTERPRISE,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.15
ZD-TK-1092,2025-07-15T10:29:00Z,NA-East,DIST-MIDATL-SUPPLY,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-MIDATL-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.18
ZD-TK-1093,2025-07-15T16:45:00Z,NA-East,DIST-COASTAL-WHOLESALE,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-COASTAL-WHOLESALE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.05
ZD-TK-1094,2025-07-15T13:08:00Z,NA-Central,DIST-MIDWEST-DIRECT,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-MIDWEST-DIRECT,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.31
ZD-TK-1095,2025-07-15T13:25:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.08
ZD-TK-1096,2025-07-15T15:18:00Z,NA-West,DIST-CAL-ENTERPRISE,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.2
ZD-TK-1097,2025-07-15T14:14:00Z,NA-West,DIST-CAL-ENTERPRISE,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.2
ZD-TK-1098,2025-07-16T17:41:00Z,NA-East,DIST-SUNBELT-PARTS,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-SUNBELT-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.19
ZD-TK-1099,2025-07-16T08:36:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.12
ZD-TK-1100,2025-07-16T10:24:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,PRODUCT_QUALITY,MEDIUM,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.33
ZD-TK-1101,2025-07-16T09:50:00Z,NA-West,DIST-PACIFIC-LOGISTICS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.03
ZD-TK-1102,2025-07-16T17:46:00Z,NA-West,DIST-PACIFIC-LOGISTICS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.22
ZD-TK-1103,2025-07-16T12:37:00Z,NA-West,DIST-MOUNTAIN-PARTS,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.15
ZD-TK-1104,2025-07-17T16:42:00Z,NA-East,DIST-SUNBELT-PARTS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-SUNBELT-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.3
ZD-TK-1105,2025-07-17T11:08:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.03
